Source Stations;Shinkansen_Line;Destination Stations;Distance; Cost (Yen) ;Durations (Min);Line;;;;;;;;;
Ueno;Joetsu_Shinkansen;Omiya;26.7; ¥1.370 ;18;Tanigawa;;;;;;;;;
Ueno;Joetsu_Shinkansen;Omiya;27.7; ¥1.370 ;18;Toki;;;;;;;;;
Omiya;Joetsu_Shinkansen;Kumagaya;34.4; ¥1.470 ;12;Tanigawa;;;;;;;;;
Omiya;Joetsu_Shinkansen;Kumagaya;35.4; ¥1.470 ;12;Toki;;;;;;;;;
Kumagaya;Joetsu_Shinkansen;Honjo-Waseda;21.3; ¥1.300 ;9;Tanigawa;;;;;;;;;
Kumagaya;Joetsu_Shinkansen;Honjo-Waseda;21.3; ¥1.300 ;9;Toki;;;;;;;;;
Honjo-Waseda;Joetsu_Shinkansen;Takasaki;19.4; ¥1.200 ;8;Tanigawa;;;;;;;;;
Honjo-Waseda;Joetsu_Shinkansen;Takasaki;19.4; ¥1.200 ;8;Toki;;;;;;;;;
Takasaki;Joetsu_Shinkansen;Jomo-Kogen;41.7; ¥1.740 ;15;Tanigawa;;;;;;;;;
Takasaki;Joetsu_Shinkansen;Jomo-Kogen;41.7; ¥1.740 ;15;Toki;;;;;;;;;
Jomo-Kogen;Joetsu_Shinkansen;Echigo-Yuzawa;32.7; ¥1.740 ;12;Tanigawa;;;;;;;;;
Jomo-Kogen;Joetsu_Shinkansen;Echigo-Yuzawa;32.7; ¥1.740 ;12;Toki;;;;;;;;;
Echigo-Yuzawa;Joetsu_Shinkansen;Gala-Yuzawa;1.7; ¥250 ;3;Tanigawa;;;;;;;;;
Echigo-Yuzawa;Joetsu_Shinkansen;Urasa;29.8; ¥1.390 ;11;Toki;;;;;;;;;
Urasa;Joetsu_Shinkansen;Nagaoka;33; ¥1.650 ;11;Toki;;;;;;;;;
Nagaoka;Joetsu_Shinkansen;Tsubame-Sanjo;23.7; ¥1.300 ;9;Toki;;;;;;;;;
Tsubame-Sanjo;Joetsu_Shinkansen;Niigata;31.9; ¥1.650 ;12;Toki;;;;;;;;;
Tokyo;Hokuriku_Shinkansen;Ueno;3.7; ¥1.050 ;5;Kagayaki;;;;;;;;;
Tokyo;Hokuriku_Shinkansen;Ueno;3.7; ¥1.050 ;5;Asama;;;;;;;;;
Tokyo;Hokuriku_Shinkansen;Ueno;3.7; ¥1.050 ;5;Hakutaka;;;;;;;;;
